author,title,description,url,source.name,publishedAt,clean_title,clean_description
Reuters Staff,Cryptocurrency XRP tumbles 24% after U.S. SEC charges Ripple - Reuters UK,Cryptocurrency XRP <XRP=BTSP> tumbled 24% on Wednesday after the U.S. Securities and Exchange Commission (SEC) charged associated blockchain firm Ripple with conducting a $1.3 billion unregistered securities offering.,https://in.reuters.com/article/us-crypto-currency-ripple-idUKKBN28X116,Reuters,2020-12-23T09:26:00Z,Cryptocurrency XRP tumbles 24 after U S SEC charges Ripple Reuters UK,Cryptocurrency XRP XRP BTSP tumbled 24 on Wednesday after the U S Securities and Exchange Commission SEC charged associated blockchain firm Ripple with conducting a 1 3 billion unregistered securities offering
Reuters Staff,Cryptocurrency XRP drops 18% after U.S. SEC charges Ripple over offering - Reuters,Cryptocurrency XRP tumbled 18% to a one-month low on Wednesday after the U.S. Securities and Exchange Commission (SEC) charged associated blockchain firm Ripple with conducting a $1.3 billion unregistered securities offering.,https://www.reuters.com/article/us-crypto-currency-ripple-idUSKBN28X116,Reuters,2020-12-23T09:23:00Z,Cryptocurrency XRP drops 18 after U S SEC charges Ripple over offering Reuters,Cryptocurrency XRP tumbled 18 to a one month low on Wednesday after the U S Securities and Exchange Commission SEC charged associated blockchain firm Ripple with conducting a 1 3 billion unregistered securities offering
Gertrude Chavez-Dreyfuss,"Total crypto fund inflows top $5 billion this year, up more than 600% - report - Reuters","Total investor inflows into cryptocurrency funds and products hit $5.6 billion so far this year, up more than 600% from 2019, according to the latest data from asset manager CoinShares.",https://www.reuters.com/article/us-crypto-currencies-flows-idUSKBN28V2OE,Reuters,2020-12-21T20:17:00Z,Total crypto fund inflows top 5 billion this year up more than 600 report Reuters,Total investor inflows into cryptocurrency funds and products hit 5 6 billion so far this year up more than 600 from 2019 according to the latest data from asset manager CoinShares
Entrepreneur en Español,"Bitcoin plummets after surpassing $ 34,000 per unit","After a long winning streak, this is the biggest daily drop for the volatile cryptocurrency since March 2020.",https://www.entrepreneur.com/article/362689,Entrepreneur,2021-01-04T19:31:00Z,Bitcoin plummets after surpassing 34 000 per unit,After a long winning streak this is the biggest daily drop for the volatile cryptocurrency since March 2020
Tom Wilson,UPDATE 1-XRP cryptocurrency tumbles as Coinbase exchange moves to suspend trading - Reuters India,"* Connected firm Ripple charged with unregistered securities offering (Adds details, context, updates prices)",https://in.reuters.com/article/crypto-currency-idINL8N2J91I7,Reuters,2020-12-29T11:40:00Z,UPDATE 1 XRP cryptocurrency tumbles as Coinbase exchange moves to suspend trading Reuters India,Connected firm Ripple charged with unregistered securities offering Adds details context updates prices
Anna Irrera,PayPal backs crypto tax startup Taxbit - Reuters UK,"PayPal Holdings Inc's venture arm has made an investment in Salt Lake City, Utah-based tech startup Taxbit, which helps consumers and businesses calculate the taxes owed on cryptocurrency holdings, the companies said on Thursday.",https://uk.reuters.com/article/us-paypal-taxbit-idUKKBN29C1FJ,Reuters,2021-01-07T11:30:00Z,PayPal backs crypto tax startup Taxbit Reuters UK,PayPal Holdings Inc s venture arm has made an investment in Salt Lake City Utah based tech startup Taxbit which helps consumers and businesses calculate the taxes owed on cryptocurrency holdings the companies said on Thursday
Reuters Staff,Crypto trading volumes hit record $68.3 billion on Monday - CryptoCompare - Reuters UK,"Trading volumes on major cryptocurrency exchanges hit a daily record on Monday of over $68 billion, research showed, highlighting the trading frenzy that has accompanied bitcoin's charge to an all-time high.",https://www.reuters.com/article/us-crypto-currency-idUKKBN29A1N6,Reuters,2021-01-05T14:43:00Z,Crypto trading volumes hit record 68 3 billion on Monday CryptoCompare Reuters UK,Trading volumes on major cryptocurrency exchanges hit a daily record on Monday of over 68 billion research showed highlighting the trading frenzy that has accompanied bitcoin s charge to an all time high
Anna Irrera,PayPal backs crypto tax startup Taxbit - Reuters,"PayPal Holdings Inc's venture arm has made an investment in Salt Lake City, Utah-based tech startup Taxbit, which helps consumers and businesses calculate the taxes owed on cryptocurrency holdings, the companies said on Thursday.",https://www.reuters.com/article/us-paypal-taxbit-idUSKBN29C1FJ,Reuters,2021-01-07T11:29:00Z,PayPal backs crypto tax startup Taxbit Reuters,PayPal Holdings Inc s venture arm has made an investment in Salt Lake City Utah based tech startup Taxbit which helps consumers and businesses calculate the taxes owed on cryptocurrency holdings the companies said on Thursday
Reuters Staff,Crypto trading volumes hit record $68.3 billion on Monday - CryptoCompare - Reuters India,"Trading volumes on major cryptocurrency exchanges hit a daily record on Monday of over $68 billion, research showed, highlighting the trading frenzy that has accompanied bitcoin's charge to an all-time high.",https://in.reuters.com/article/crypto-currencies-flows-idINKBN29A1W5,Reuters,2021-01-05T16:04:00Z,Crypto trading volumes hit record 68 3 billion on Monday CryptoCompare Reuters India,Trading volumes on major cryptocurrency exchanges hit a daily record on Monday of over 68 billion research showed highlighting the trading frenzy that has accompanied bitcoin s charge to an all time high
David Randall,"DoubleLine's Gundlach bullish on Asian emerging market stocks, neutral on bitcoin - Reuters","Jeffrey Gundlach, the billionaire chief executive of investment firm DoubleLine Capital, said on Tuesday he is bullish on Asian emerging market stocks and neutral on bitcoin given the volatility of the cryptocurrency.",https://www.reuters.com/article/usa-funds-gundlach/doublelines-gundlach-bullish-on-asian-emerging-market-stocks-neutral-on-bitcoin-idUSL1N2JN39G,Reuters,2021-01-12T23:10:00Z,DoubleLine s Gundlach bullish on Asian emerging market stocks neutral on bitcoin Reuters,Jeffrey Gundlach the billionaire chief executive of investment firm DoubleLine Capital said on Tuesday he is bullish on Asian emerging market stocks and neutral on bitcoin given the volatility of the cryptocurrency
