id,dateid,timeid,trading_symbol,avg
104,31,661,BTC,-0.9325
105,31,721,BTC,0.3721
106,31,781,BTC,0.0377
107,31,841,BTC,0.9818
108,31,901,BTC,0.0044
109,31,961,BTC,0.0742
110,31,1021,BTC,0.2559
111,31,1081,BTC,-0.9993
112,31,1141,BTC,-0.0144
113,31,1201,BTC,0.999
114,32,61,BTC,0.984
115,32,241,BTC,0.3246
116,32,361,BTC,0.7506
117,32,421,BTC,0.9628
118,32,481,BTC,-0.5574
119,32,541,BTC,0.7906
120,32,601,BTC,-0.2407
121,32,661,BTC,-0.9997
122,32,721,BTC,0.997
123,32,781,BTC,0.999
124,32,841,BTC,0.8885
125,32,901,BTC,0.6808
126,32,961,BTC,0.6369
127,32,1021,BTC,-0.0281
128,32,1081,BTC,-0.0011
129,32,1141,BTC,0.3824
130,32,1201,BTC,0.2488
131,32,1261,BTC,-0.6705
132,32,1321,BTC,0.7717
133,33,1,BTC,-0.6705
134,33,61,BTC,0.9953
135,33,121,BTC,0.9682
136,33,181,BTC,0.328
137,33,301,BTC,0.0015
138,33,361,BTC,0.9468
139,33,421,BTC,0.0015
140,33,541,BTC,0.4266
141,35,721,BTC,0.9726
142,35,781,BTC,0.0731
143,35,841,BTC,0.2268
144,35,901,BTC,0.2793
145,35,961,BTC,0.0246
146,35,1021,BTC,-0.0239
147,35,1081,BTC,0.7906
148,35,1201,BTC,0.5994
149,35,1261,BTC,0.7096
150,35,1321,BTC,0.9984
151,35,1381,BTC,-0.6597
152,36,1,BTC,0.7906
153,36,241,BTC,-0.5859
154,36,301,BTC,0.7906
155,36,481,BTC,0.3074
156,36,541,BTC,0.999
157,36,601,BTC,0
158,36,721,BTC,-0.9997
159,36,781,BTC,0.5574
160,36,841,BTC,0.9853
161,36,1201,BTC,0.9771
162,36,1261,BTC,-0.5574
163,36,1321,BTC,0.0078
164,36,1381,BTC,-0.0212
165,37,1,BTC,0.997
166,37,121,BTC,0.0904
167,37,181,BTC,0.9682
168,37,241,BTC,-0.6486
169,37,361,BTC,0.4266
170,37,541,BTC,0.0245
171,37,601,BTC,-0.2719
172,37,721,BTC,0.3688
173,37,781,BTC,-0.5423
174,37,841,BTC,0.9686
175,37,901,BTC,0.1131
176,37,961,BTC,0.9985
177,37,1021,BTC,0.7906
178,37,1081,BTC,0.4191
179,37,1141,BTC,-0.0152
180,37,1201,BTC,0.4108
181,37,1261,BTC,0.3873
182,37,1321,BTC,-0.0311
183,37,1381,BTC,0.9628
184,38,121,BTC,-0.9992
185,38,301,BTC,0.1153
186,38,481,BTC,0.9955
187,38,541,BTC,0.8862
188,38,601,BTC,-0.6486
189,38,661,BTC,0.4549
190,38,721,BTC,0.3669
191,38,841,BTC,0.2273
192,38,901,BTC,-0.9325
193,38,961,BTC,0.5267
194,39,301,BTC,0.9732
195,39,361,BTC,-0.6705
196,39,421,BTC,0.9818
197,39,541,BTC,0.9985
198,39,661,BTC,0.5106
199,39,721,BTC,-0.9978
200,39,781,BTC,0.0015
201,39,841,BTC,-0.7506
202,39,901,BTC,0.0675
203,39,961,BTC,0.0113
204,39,1021,BTC,0.5719
205,39,1081,BTC,0.997
206,39,1141,BTC,0.9985
207,39,1201,BTC,-0.7906
208,39,1261,BTC,0.9984
209,40,1,BTC,-0.0009
210,40,361,BTC,-0.1998
211,40,541,BTC,0.7579
212,40,661,BTC,0.3115
213,40,721,BTC,0.9682
214,40,781,BTC,-0.5574
215,40,841,BTC,0.9882
216,40,901,BTC,-0.9993
217,40,961,BTC,0.9803
218,40,1021,BTC,0.9758
219,40,1081,BTC,0.9682
220,40,1141,BTC,0.4178
221,40,1201,BTC,0.4547
222,40,1261,BTC,0.8225
223,40,1321,BTC,-0.2808
224,40,1381,BTC,0.9792
225,41,1,BTC,0.984
226,41,61,BTC,0.0091
227,41,121,BTC,-0.8652
228,41,181,BTC,0.2268
229,41,241,BTC,-0.9993
230,41,301,BTC,0.9818
231,41,361,BTC,-0.0249
232,41,421,BTC,-0.8934
233,41,481,BTC,-0.9944
234,41,541,BTC,0.9682
235,41,601,BTC,-0.5574
236,42,1,BTC,0.0082
237,42,61,BTC,0.9682
238,42,181,BTC,0.5106
239,42,241,BTC,0.5859
240,42,301,BTC,0.4331
241,42,481,BTC,0.4098
242,42,661,BTC,-0.5859
243,42,721,BTC,0.9766
244,42,781,BTC,0.9985
245,42,841,BTC,0.936
246,42,901,BTC,-0.9963
247,42,961,BTC,-0.5574
248,42,1021,BTC,-0.016
249,42,1081,BTC,-0.0244
250,42,1141,BTC,0.6369
251,42,1201,BTC,-0.997
252,42,1261,BTC,-0.0292
253,42,1321,BTC,-0.0152
254,42,1381,BTC,0.066
255,43,1,BTC,0.9719
256,43,61,BTC,0.3177
257,43,121,BTC,0.9705
258,43,241,BTC,0.3082
259,43,301,BTC,0.9818
260,43,361,BTC,-0.7003
261,43,541,BTC,0.9985
262,43,721,BTC,0.997
263,43,781,BTC,-0.0007
264,43,841,BTC,0.4062
265,43,1021,BTC,-0.9992
266,43,1141,BTC,0.9818
267,43,1201,BTC,0.9837
268,43,1261,BTC,0.9781
269,43,1321,BTC,0.9702
270,43,1381,BTC,0.992
271,44,601,BTC,0.3499
272,45,781,BTC,0.9682
273,45,841,BTC,-0.765
274,45,901,BTC,0.7003
275,45,961,BTC,-0.997
276,45,1081,BTC,0.9729
277,45,1141,BTC,-0.9972
278,45,1261,BTC,-0.0862
279,46,1,BTC,0.6166
280,46,121,BTC,0.9325
281,46,301,BTC,-0.5994
282,47,121,BTC,0.9325
283,47,241,BTC,-0.0643
284,47,781,BTC,0.997
285,47,841,BTC,0.9957
286,47,901,BTC,0.9882
287,47,1021,BTC,0.984
288,47,1081,BTC,-0.5267
289,47,1141,BTC,0.3876
290,47,1201,BTC,0.4879
291,47,1261,BTC,0.91
292,47,1381,BTC,0.8934
293,48,361,BTC,-0.7269
294,48,421,BTC,0.9792
295,48,481,BTC,0.4397
296,48,721,BTC,-0.9996
297,48,1021,BTC,-0.4512
298,48,1141,BTC,0.9819
299,48,1201,BTC,0.9712
300,48,1321,BTC,0.0017
301,48,1381,BTC,0.4749
302,49,1,BTC,0.4561
303,49,181,BTC,0.743
304,49,301,BTC,-0.0008
305,49,541,BTC,0.4
306,49,661,BTC,-0.9993
307,49,721,BTC,0.9818
308,49,781,BTC,0.3272
309,49,841,BTC,0.6249
310,49,901,BTC,-0.9993
311,49,1021,BTC,-0.0481
312,49,1081,BTC,0.9682
313,49,1201,BTC,0.0271
314,49,1261,BTC,0.8934
315,49,1321,BTC,-0.9992
316,50,1,BTC,0.0015
317,50,181,BTC,0.9985
318,50,361,BTC,0.5859
319,52,721,BTC,0.0086
320,52,781,BTC,0.3504
321,52,901,BTC,0.6434
322,52,961,BTC,-0.9993
323,52,1081,BTC,0.9826
324,52,1141,BTC,0.3924
325,52,1201,BTC,0.0164
326,53,1,BTC,0.9873
327,53,121,BTC,-0.9968
328,53,181,BTC,0.0015
329,53,301,BTC,-0.8126
330,53,361,BTC,0.9729
331,53,421,BTC,0.9983
332,53,481,BTC,-0.0008
333,53,541,BTC,0.999
334,53,601,BTC,-0.2064
335,53,661,BTC,-0.3504
336,53,721,BTC,0.9682
337,53,781,BTC,0.5267
338,53,841,BTC,0.5267
339,53,901,BTC,0.5046
340,53,961,BTC,0.5423
341,53,1021,BTC,0.0534
342,53,1081,BTC,0.9987
343,53,1201,BTC,-0.191
344,53,1261,BTC,0.0448
345,53,1321,BTC,0.328
346,53,1381,BTC,-0.6124
347,54,121,BTC,-0.0027
348,54,181,BTC,0.5267
349,54,241,BTC,0.9843
350,54,301,BTC,0.9985
351,54,361,BTC,0.9995
352,54,421,BTC,0
353,54,481,BTC,0.9834
354,54,541,BTC,0.9702
355,55,61,BTC,0.997
356,55,121,BTC,-0.7269
357,55,361,BTC,0.9325
358,55,661,BTC,0.997
359,55,721,BTC,0.2312
360,55,781,BTC,0.6124
361,55,841,BTC,0.4415
362,55,901,BTC,0.9982
363,55,961,BTC,0.3034
364,55,1021,BTC,0.4199
365,55,1201,BTC,0.9986
366,55,1261,BTC,0.9682
367,56,361,BTC,-0.9682
368,56,421,BTC,0.9758
369,56,601,BTC,0.4723
370,56,661,BTC,-0.1282
371,56,721,BTC,0.3823
372,56,781,BTC,0.8934
373,56,841,BTC,0.9682
374,56,961,BTC,0.9823
375,56,1021,BTC,-0.015
376,56,1081,BTC,0.0015
377,56,1201,BTC,0.3511
378,56,1261,BTC,-0.997
379,56,1321,BTC,0.9549
380,56,1381,BTC,-0.9988
381,57,1,BTC,0.0076
382,57,121,BTC,0.9986
383,57,241,BTC,0.9001
384,57,301,BTC,0.9325
385,57,361,BTC,0.0136
