author,title,description,url,source.name,publishedAt,clean_title,clean_description
"MoneyShow, Contributor, 
 MoneyShow, Contributor
 https://www.forbes.com/sites/moneyshow/people/moneyshow/",Bitcoin To Space Travel: 5 Eagle Experts Think These Investment Ideas Can Soar In 2021,"Consistently among the top performers every year are the investing experts from Eagle Publishing; here, 5 of these advisors highlight at their favorite ideas for 2021, ranging from e-commerce and cryptocurrency to sports betting and space travel.",https://www.forbes.com/sites/moneyshow/2021/01/25/bitcoin-to-space-travel-5-eagle-experts-think-these-investment-ideas-can-soar-in-2021/,Forbes,2021-01-25 14:37:19+00:00,Bitcoin To Space Travel 5 Eagle Experts Think These Investment Ideas Can Soar In 2021,Consistently among the top performers every year are the investing experts from Eagle Publishing here 5 of these advisors highlight at their favorite ideas for 2021 ranging from e commerce and cryptocurrency to sports betting and space travel
Reuters Staff,"Existing cryptocurrencies unlikely to last, says BoE's Bailey - Reuters UK","No existing cryptocurrency has a structure that is likely to allow it to last over the long term, Bank of England Governor Andrew Bailey said on Monday at an online discussion hosted by the Davos-based World Economic Forum.",https://www.reuters.com/article/uk-britain-boe-bailey-idUSKBN29U21Q,Reuters,2021-01-25 18:04:00+00:00,Existing cryptocurrencies unlikely to last says BoE s Bailey Reuters UK,No existing cryptocurrency has a structure that is likely to allow it to last over the long term Bank of England Governor Andrew Bailey said on Monday at an online discussion hosted by the Davos based World Economic Forum
"Shehan Chandrasekera, Contributor, 
 Shehan Chandrasekera, Contributor
 https://www.forbes.com/sites/shehanchandrasekera/",Expect These IRS Tax Forms From Crypto Exchanges Before January 31,Make sure to download these IRS tax forms from crypto exchanges to file an accurate tax return.,https://www.forbes.com/sites/shehanchandrasekera/2021/01/25/expect-these-irs-tax-forms-from-crypto-exchanges-before-january-31/,Forbes,2021-01-25 18:09:18+00:00,Expect These IRS Tax Forms From Crypto Exchanges Before January 31,Make sure to download these IRS tax forms from crypto exchanges to file an accurate tax return
Entrepreneur en Español,"Bitcoin May Never Go Above $ 40,000 Again, JP Morgan Alerts",The financial company considers that the flow of institutional resources to the cryptocurrency is too weak to revalue the Bitcoin.,https://www.entrepreneur.com/article/364066,Entrepreneur,2021-01-25 18:15:00+00:00,Bitcoin May Never Go Above 40 000 Again JP Morgan Alerts,The financial company considers that the flow of institutional resources to the cryptocurrency is too weak to revalue the Bitcoin
"Carter Johnson, Weng Cheong and Reed Alexander","How to land a job in the red-hot world of crypto trading and investing, according to 7 insiders from firms like Grayscale and Galaxy Digital","Summary List PlacementThere are a wealth of job opportunities in the world of trading cryptocurrency.
Indeed, dealing in the emerging asset class provides a host of employment opportunities for both finance industry veterans and newcomers alike, insiders say.…",https://www.businessinsider.com/how-to-get-cryptocurrency-trading-job-grayscale-galaxy-asset-management-2021-1,Business Insider,2021-01-25 19:43:45+00:00,How to land a job in the red hot world of crypto trading and investing according to 7 insiders from firms like Grayscale and Galaxy Digital,Summary List PlacementThere are a wealth of job opportunities in the world of trading cryptocurrency Indeed dealing in the emerging asset class provides a host of employment opportunities for both finance industry veterans and newcomers alike insiders say
Benjamin Powers,Substack Newsletters Are Being Used to Spread Crypto Scams,"Scam Substack accounts impersonate various cryptocurrency projects, encouraging victims to “upgrade"" their smart contracts and send funds.",https://www.coindesk.com/index.php?p=569315,CoinDesk,2021-01-25 20:34:46+00:00,Substack Newsletters Are Being Used to Spread Crypto Scams,Scam Substack accounts impersonate various cryptocurrency projects encouraging victims to upgrade their smart contracts and send funds
Will Daniel,"Crypto miner Marathon Patent Group pours $150 million into bitcoin as the token pulls back from record highs (MARA, MSTR)","Summary List PlacementCryptocurrency miner Marathon Patent Group announced on Monday it purchased $150 million of bitcoin after the cryptocurrency fell from historic highs of over $40,000.
The company bought 4,812.66 BTC at an implied average price of $31,167…",https://www.businessinsider.com/buy-bitcoin-dip-marathon-patent-group-pours-millions-btc-2021-1,Business Insider,2021-01-25 21:09:45+00:00,Crypto miner Marathon Patent Group pours 150 million into bitcoin as the token pulls back from record highs MARA MSTR,Summary List PlacementCryptocurrency miner Marathon Patent Group announced on Monday it purchased 150 million of bitcoin after the cryptocurrency fell from historic highs of over 40 000 The company bought 4 812 66 BTC at an implied average price of 31 167
Gertrude Chavez-Dreyfuss,"Bitcoin, crypto inflows hit record last week: CoinShares - Reuters","Investment flows into cryptocurrency funds and products hit a record $1.31 billion last week after a few weeks of small outflows, as investors took advantage of the decline in bitcoin and other digital asset prices, according to the latest data on Monday from…",https://www.reuters.com/article/us-crypto-currency-flows-idUSKBN29U2LA,Reuters,2021-01-25 22:56:00+00:00,Bitcoin crypto inflows hit record last week CoinShares Reuters,Investment flows into cryptocurrency funds and products hit a record 1 31 billion last week after a few weeks of small outflows as investors took advantage of the decline in bitcoin and other digital asset prices according to the latest data on Monday from
Nikhilesh De,Senate Confirms Janet Yellen as US Treasury Secretary,Janet Yellen has been confirmed as the next Secretary of the Treasury. Here’s what that means for the cryptocurrency industry.,https://www.coindesk.com/janet-yellen-confirmed,CoinDesk,2021-01-25 22:57:28+00:00,Senate Confirms Janet Yellen as US Treasury Secretary,Janet Yellen has been confirmed as the next Secretary of the Treasury Here s what that means for the cryptocurrency industry
Abhimanyu Ghoshal,"Signal is drama-free for now, but it should prepare for the worst","Technology journalist Casey Newton has a worrying revelation in the latest issue of his Platformer newsletter: amidst rapid growth, Signal is reportedly not ready for all the ways it could be misused. The messaging app presently runs as a non-profit, and is f…",https://thenextweb.com/plugged/2021/01/26/signal-is-drama-free-for-now-but-it-should-prepare-for-the-worst/,The Next Web,2021-01-26 07:07:40+00:00,Signal is drama free for now but it should prepare for the worst,Technology journalist Casey Newton has a worrying revelation in the latest issue of his Platformer newsletter amidst rapid growth Signal is reportedly not ready for all the ways it could be misused The messaging app presently runs as a non profit and is f
